imdb_title_id,ordering,imdb_name_id,category
23969,3,555597,actor
23969,4,555688,actor
23969,5,564970,director
23969,6,436095,writer
23969,7,748438,writer
23969,8,790654,writer
23969,9,674759,writer
23969,10,789049,cinematographer
24034,1,62828,actor
24034,2,199841,actress
24034,3,107575,actor
24034,4,444528,actress
24034,5,45800,director
24034,6,416861,writer
24034,7,786827,writer
24034,8,740622,writer
24034,9,93456,writer
24034,10,5835,cinematographer
24166,1,922213,actress
24166,2,26,actor
24166,3,711855,actor
24166,4,36427,actor
24166,5,749484,director
24166,6,107614,writer
24166,7,869860,cinematographer
24184,1,1647,actor
24184,2,1784,actress
24184,3,364203,actor
24184,4,871287,actor
24184,5,1843,director
24184,6,920229,writer
24184,7,792670,writer
24184,8,2545,writer
24184,9,943804,writer
24184,10,480673,producer
24216,1,942039,actress
24216,2,35877,actor
24216,3,127677,actor
24216,4,717046,actor
24216,5,178260,director
24216,6,774325,director
24216,7,187256,writer
24216,8,741656,writer
24216,9,908624,writer
24216,10,330390,writer
24264,1,31,actress
24264,2,910,actress
24264,3,510134,actor
24264,4,646829,actress
24264,5,2030,director
24264,6,17301,writer
24264,7,556945,writer
24264,8,373511,writer
24264,9,28636,writer
24264,10,88670,writer
24473,1,1452,actor
24473,2,232196,actor
24473,3,245579,actor
24473,4,541766,actor
24473,5,466099,director
24473,6,83742,writer
24473,7,934497,writer
24473,8,775680,composer
24473,9,5838,cinematographer
24473,10,365882,editor
24548,1,922213,actress
24548,2,26,actor
24548,3,601698,actor
24548,4,738042,actor
24548,5,792514,director
24548,6,857710,writer
24548,7,109148,writer
24548,8,485702,cinematographer
24548,9,1935,actor
24548,10,484439,actor
24663,1,611804,actor
24663,2,369058,actor
24663,3,124287,actor
24663,4,78,actor
24663,5,163786,director
24663,6,769585,director
24663,7,241416,writer
24663,8,355963,writer
24663,9,765036,writer
24663,10,169243,writer
24805,1,78,actor
24805,2,856077,actress
24805,3,419880,actress
24805,4,734340,actor
24805,5,292134,director
24805,6,878328,writer
24805,7,53352,composer
24805,8,5887,cinematographer
24805,9,402156,editor
24844,1,663077,actress
24844,2,202120,actor
24844,3,546621,actor
24844,4,498882,actor
24844,5,897118,director
24844,6,347447,writer
24844,7,729960,writer
24844,8,636677,producer
24844,9,6144,composer
24844,10,442100,cinematographer
24852,1,491048,actor
24852,2,1316,actor
24852,3,439852,actress
24852,4,377766,actress
24852,5,576940,director
24852,6,736778,director
24852,7,124918,writer
24852,8,342417,writer
24852,9,152156,writer
24852,10,179290,cinematographer
24854,1,73,actress
24854,2,7223,actor
24854,3,872456,actress
24854,4,3062,actor
24854,5,480046,director
24854,6,458934,writer
24854,7,660923,writer
24854,8,431903,writer
24854,9,175902,writer
24854,10,425225,writer
24894,1,472,actor
24894,2,509,actor
24894,3,543115,actor
24894,4,84098,actress
24894,5,880618,director
24894,6,590,writer
24894,7,750537,writer
24894,8,453311,writer
24894,9,193568,editor
24914,1,73,actress
24914,2,7223,actor
24914,3,2034,actress
24914,4,20703,actress
24914,5,124877,director
24914,6,175902,writer
24914,7,121667,writer
24914,8,425225,writer
24914,9,943449,producer
24914,10,587926,cinematographer
25164,1,1,actor
25164,2,1677,actress
25164,3,103567,actress
25164,4,2143,actor
25164,5,762263,director
25164,6,852313,writer
25164,7,916177,writer
25164,8,388755,writer
25164,9,547938,writer
25164,10,949130,writer
25316,1,22,actor
25316,2,1055,actress
25316,3,175369,actor
25316,4,439850,actor
25316,5,1008,director
25316,6,728307,writer
25316,7,11343,writer
25316,8,907900,cinematographer
25316,9,369879,editor
25316,10,858977,actor
25452,1,52203,actor
25452,2,78923,actress
25452,3,48,actor
25452,4,903687,actor
25452,5,33,director
25452,6,71657,writer
25452,7,943922,writer
25452,8,339326,writer
25452,9,712653,writer
25452,10,930539,writer
25829,1,62828,actor
25829,2,263004,actress
25829,3,7223,actor
25829,4,296436,actress
25829,5,532187,director
25829,6,114095,writer
25829,7,737259,writer
25829,8,458934,writer
25829,9,817809,writer
25829,10,102167,writer
25862,1,919321,actor
25862,2,1577,actress
25862,3,358076,actor
25862,4,146905,actor
25862,5,316539,director
25862,6,176699,director
25862,7,570985,director
25862,8,123194,writer
25862,9,570130,writer
25862,10,736911,writer
25878,1,1635,actor
25878,2,1485,actress
25878,3,1577,actress
25878,4,671738,actor
25878,5,886754,director
25878,6,352443,writer
25878,7,329304,writer
25878,8,358591,writer
25878,9,834898,producer
25878,10,2197,composer
25919,1,858,actor
25919,2,1479,actress
25919,3,175369,actor
25919,4,439850,actor
25919,5,1328,director
25919,6,589619,writer
25919,7,372942,writer
25919,8,531269,writer
25919,9,2545,writer
25919,10,288706,writer
26029,1,232196,actor
26029,2,140914,actress
26029,3,543169,actress
26029,4,853607,actor
26029,5,33,director
26029,6,117955,writer
26029,7,71657,writer
26029,8,67308,writer
26029,9,461497,cinematographer
26029,10,878604,editor
26138,1,472,actor
26138,2,6471,actress
26138,3,166972,actor
26138,4,387753,actress
26138,5,1843,director
26138,6,791217,writer
26138,7,403398,writer
26138,8,49721,writer
26138,9,76653,writer
26138,10,88662,writer
26174,1,1224,actor
26174,2,14,actress
26174,3,41172,actor
26174,4,1651,actor
26174,5,2031,director
26174,6,754581,writer
26174,7,732452,writer
26174,8,5735,cinematographer
26174,9,5803,cinematographer
26174,10,25497,editor
26252,1,73,actress
26252,2,92900,actor
26252,3,399955,actress
26252,4,2034,actress
26252,5,191899,director
26252,6,574110,writer
26252,7,65753,writer
26252,8,175902,writer
26252,9,397022,writer
26252,10,663613,writer
26641,1,73,actress
26641,2,92900,actor
26641,3,392442,actor
26641,4,605904,actress
26641,5,124877,director
26641,6,121667,writer
26641,7,672540,writer
26641,8,876223,writer
26641,9,5870,cinematographer
26641,10,606206,editor
26752,1,1452,actor
26752,2,22,actor
26752,3,867144,actor
26752,4,612743,actor
26752,5,515979,director
26752,6,421255,writer
26752,7,299154,writer
26752,8,933133,writer
26752,9,635079,writer
26752,10,355681,writer
26778,1,50,actor
26778,2,555597,actor
26778,3,555617,actor
26778,4,137634,actress
26778,5,939992,director
26778,6,332539,director
26778,7,442151,writer
26778,8,753452,writer
26778,9,570130,writer
26778,10,36,writer
26835,1,73,actress
26835,2,24743,actress
26835,3,566948,actor
26835,4,847939,actor
26835,5,731910,director
26835,6,43081,writer
26835,7,729694,writer
26835,8,679517,writer
26835,9,65753,writer
26835,10,947386,writer
27067,1,31,actress
